Sequence,Geo-X,Geo-Y,Geo-Z,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-z
234,-0.977317,0.152073,0.189771,-1.040425,0.009234,0.123276,1.533478,3.421754,4.239976
235,-0.977317,0.152073,0.189771,-1.029181,0.010039,0.128898,1.281649,3.484786,4.554689
236,-0.991229,0.152073,0.197517,-1.03641,0.00763,0.120065,0.904053,3.484786,4.491806
237,-0.984273,0.152073,0.220755,-1.03159,0.005219,0.102396,1.470596,3.295839,3.862381
238,-0.986592,0.169105,0.207845,-1.035606,0.014856,0.091955,1.533478,3.358871,4.365891
239,-0.979636,0.161806,0.197517,-1.040425,0.006023,0.114443,1.407564,3.358871,4.617721
240,-0.981954,0.14964,0.225918,-1.035606,-0.002008,0.107214,1.344681,3.610551,4.491806
241,-0.981954,0.14964,0.21559,-1.033197,0.009234,0.1297,1.281649,3.358871,4.177094
242,-0.981954,0.14964,0.21559,-1.042834,0.013252,0.133716,1.344681,3.421754,4.491806
243,-0.97268,0.154506,0.202681,-1.029984,-0.001205,0.118458,1.470596,2.981126,4.680604
244,-0.986592,0.144774,0.225918,-1.03641,0.015661,0.117654,1.722276,3.799498,4.239976
245,-0.979636,0.152073,0.225918,-1.029181,0.002008,0.108821,1.407564,3.484786,4.554689
246,-0.984273,0.152073,0.218172,-1.035606,0.003614,0.127292,1.533478,3.673583,4.114211
247,-0.986592,0.156939,0.218172,-1.033999,0.004417,0.112032,1.407564,2.918243,4.114211
248,-0.986592,0.156939,0.218172,-1.023559,0.015661,0.113639,1.155883,3.421754,4.365891
249,-0.986592,0.154506,0.233664,-1.032394,0.014054,0.095168,1.029968,3.232956,4.303008
250,-0.98891,0.14964,0.194935,-1.026772,-0.000401,0.119261,1.281649,3.610551,4.680604
251,-0.981954,0.154506,0.202681,-1.030788,0.004417,0.118458,0.904053,3.421754,4.239976
252,-0.981954,0.156939,0.220755,-1.037212,0.017267,0.112032,1.029968,3.736466,4.554689
253,-0.984273,0.144774,0.231082,-1.042834,0.010039,0.122474,1.596361,3.610551,4.239976
254,-0.979636,0.159373,0.200099,-1.017135,0.014856,0.12408,1.533478,3.484786,4.303008
255,-0.979636,0.159373,0.200099,-1.038819,0.01807,0.110427,1.092851,3.232956,3.925264
256,-0.995866,0.159373,0.200099,-1.027575,0.003614,0.114443,1.029968,3.673583,4.177094
257,-0.993548,0.156939,0.202681,-1.025166,0.002008,0.126489,1.281649,3.044158,4.239976
258,-0.986592,0.14964,0.24141,-1.024363,0.001204,0.126489,1.533478,3.484786,4.114211
259,-0.995866,0.159373,0.233664,-1.028379,0.000401,0.093561,0.841171,3.484786,4.177094
260,-0.98891,0.154506,0.210427,-1.030788,0.017267,0.133716,1.281649,3.673583,4.239976
261,-0.984273,0.147207,0.210427,-1.029181,0.012448,0.095168,1.470596,3.295839,4.177094
262,-0.984273,0.147207,0.210427,-1.032394,0.016463,0.128096,1.470596,3.484786,4.177094
263,-0.98891,0.156939,0.225918,-1.033197,0.012448,0.109623,1.533478,3.673583,4.365891
264,-0.98891,0.152073,0.213009,-1.038819,0.014054,0.12167,1.344681,3.421754,4.051179
265,-0.991229,0.156939,0.205263,-1.040425,0.015661,0.113639,1.533478,3.295839,4.303008
266,-0.984273,0.156939,0.220755,-1.033197,0.012448,0.104805,1.533478,3.673583,4.365891
267,-0.984273,0.156939,0.218172,-1.03159,0.022085,0.112836,1.218766,3.421754,4.051179
268,-0.984273,0.156939,0.218172,-1.041228,0.014856,0.112836,0.904053,3.170073,4.114211
269,-0.979636,0.154506,0.213009,-1.028379,0.012448,0.104001,1.218766,3.484786,4.806519
270,-0.981954,0.156939,0.18719,-1.029181,0.012448,0.128898,1.155883,3.421754,4.365891
271,-0.986592,0.152073,0.184607,-1.034803,0.011645,0.122474,1.407564,3.107041,4.177094
272,-0.993548,0.14964,0.213009,-1.03159,0.010841,0.105608,1.344681,3.358871,4.177094
273,-0.984273,0.142341,0.197517,-1.035606,0.010841,0.136929,0.966936,3.107041,4.303008
274,-0.984273,0.154506,0.210427,-1.025166,0.001204,0.092759,1.407564,3.107041,4.303008
275,-0.984273,0.154506,0.210427,-1.034803,0.00763,0.103199,1.533478,3.295839,4.428923
276,-0.991229,0.152073,0.202681,-1.033197,0.022085,0.142551,1.470596,3.610551,4.428923
277,-0.984273,0.14964,0.210427,-1.032394,0.013252,0.102396,0.904053,3.170073,4.491806
278,-0.981954,0.164239,0.210427,-1.043636,0.01807,0.110427,1.407564,3.610551,4.114211
279,-0.984273,0.154506,0.200099,-1.034803,0.012448,0.11123,1.218766,3.295839,4.365891
280,-0.993548,0.152073,0.220755,-1.022757,0.008432,0.124883,1.407564,3.421754,4.554689
