Sequence,Geo-X,Geo-Y,Geo-Z,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-z
103,0.656829,-1.111904,-0.559866,-0.003194,-1.003449,0.003724,-0.228891,-0.198731,-0.467684
104,0.663731,-1.116692,-0.554633,-0.012831,-1.000236,-0.010733,-0.291923,0.304779,-0.908311
105,0.656829,-1.111904,-0.572946,0.006444,-0.995418,0.012558,-0.858316,0.05295,-0.719514
106,0.656829,-1.111904,-0.572946,-0.007209,-0.986583,0.010951,-0.354806,-0.072965,-0.530716
107,0.65913,-1.123873,-0.578179,-0.007209,-0.990598,0.01818,-1.110146,-0.387677,-0.782397
108,0.666032,-1.123873,-0.567714,0.007248,-1.000236,0.022997,-0.73255,-0.324646,-0.719514
109,0.65913,-1.126267,-0.565098,-0.008011,-1.004251,-0.001898,-0.291923,-0.072965,-0.971194
110,0.652228,-1.10951,-0.59126,-0.008011,-0.993812,0.004527,-0.354806,-0.135848,-0.593599
111,0.654529,-1.10951,-0.586027,-0.007209,-0.997023,0.006935,-0.606635,0.115982,-0.341769
112,0.649927,-1.114298,-0.559866,-0.016847,-0.997827,0.028619,-0.480721,-0.261763,-0.593599
113,0.649927,-1.114298,-0.559866,0.008051,-0.988992,0.003724,-0.606635,-0.70239,-1.160141
114,0.645326,-1.121479,-0.549401,-0.000785,-1.007465,0.020588,-0.73255,-0.45056,-0.782397
115,0.647627,-1.126267,-0.599108,-0.003194,-1.001842,0.000511,-0.166008,0.367662,-0.467684
116,0.656829,-1.121479,-0.572946,0.006444,-0.997023,0.014164,-0.354806,-0.513443,-0.404801
117,0.656829,-1.126267,-0.578179,-0.016042,-0.98819,0.018982,-0.228891,-0.198731,-0.908311
118,0.654529,-1.123873,-0.580795,0.00002,-0.999434,0.022997,-0.228891,0.241748,-0.530716
119,0.654529,-1.123873,-0.580795,0.002428,-0.993812,-0.001898,-0.228891,-0.009933,-0.278886
120,0.652228,-1.10951,-0.57033,-0.0048,-1.007465,0.015771,-0.606635,0.05295,-0.908311
121,0.65913,-1.121479,-0.552017,-0.000785,-0.995418,0.013362,-1.047263,0.05295,-0.404801
122,0.652228,-1.126267,-0.578179,-0.006405,-0.991403,0.013362,-0.543603,0.05295,-0.656482
123,0.652228,-1.123873,-0.586027,0.005642,-1.013085,0.023802,-0.417838,-0.135848,-0.467684
124,0.65913,-1.116692,-0.572946,0.008853,-1.00666,0.025408,-0.228891,-0.072965,-0.719514
125,0.65913,-1.116692,-0.572946,-0.007209,-0.997023,0.030226,-0.480721,-0.009933,-0.782397
126,0.661431,-1.111904,-0.575562,-0.003194,-0.994614,0.013362,0.085822,-0.198731,-0.467684
127,0.654529,-1.119086,-0.578179,-0.0048,-1.001038,0.008542,-0.795433,-0.135848,-0.341769
128,0.649927,-1.126267,-0.575562,0.000822,-0.999434,0.020588,-0.480721,-0.261763,-0.530716
129,0.647627,-1.116692,-0.572946,-0.003996,-0.997023,0.025408,-0.669518,-0.576475,-0.278886
130,0.654529,-1.128661,-0.57033,0.005642,-0.990598,0.012558,-0.166008,-0.576475,-0.404801
131,0.668332,-1.114298,-0.575562,-0.0048,-0.997827,0.00774,-0.228891,-0.072965,-0.593599
132,0.668332,-1.114298,-0.575562,-0.002389,-1.002645,0.008542,-0.73255,-0.387677,-0.530716
133,0.65913,-1.116692,-0.578179,-0.007209,-0.996221,0.035848,-0.606635,-0.198731,-0.782397
134,0.666032,-1.119086,-0.572946,0.004035,-1.003449,0.01818,-0.543603,-0.513443,-0.467684
135,0.663731,-1.126267,-0.575562,-0.01042,-0.993812,0.012558,-0.480721,-0.135848,-0.404801
136,0.661431,-1.128661,-0.557249,-0.017649,-0.995418,0.01818,-0.291923,-0.009933,-0.593599
137,0.65913,-1.121479,-0.567714,-0.001587,-0.98819,0.029424,-0.291923,0.556609,-0.719514
138,0.65913,-1.121479,-0.567714,0.001626,-1.00666,0.023802,-0.228891,-0.324646,-0.216004
139,0.661431,-1.123873,-0.572946,-0.003194,-1.000236,0.028619,-0.354806,-0.135848,-0.278886
140,0.663731,-1.126267,-0.559866,-0.005602,-0.998629,0.013362,-0.669518,0.115982,-0.656482
141,0.656829,-1.131054,-0.552017,-0.007209,-0.998629,0.027013,-0.480721,-0.387677,-0.908311
142,0.652228,-1.128661,-0.567714,-0.006405,-1.001038,0.035046,-0.795433,-0.513443,-0.719514
143,0.670633,-1.123873,-0.580795,-0.003996,-0.990598,0.014164,-0.480721,-0.261763,-0.404801
144,0.670633,-1.119086,-0.554633,-0.005602,-0.996221,0.021393,-0.228891,-0.072965,-0.530716
145,0.670633,-1.119086,-0.554633,0.004837,-1.003449,0.018982,-0.040093,-0.513443,-0.719514
146,0.666032,-1.121479,-0.578179,-0.0048,-0.996221,0.021393,-0.669518,-0.324646,-0.656482
147,0.663731,-1.119086,-0.559866,-0.005602,-1.000236,0.00774,-0.921348,-0.198731,-1.097109
148,0.654529,-1.133448,-0.596492,0.004035,-0.997827,0.023802,-0.606635,-0.513443,-0.341769
149,0.661431,-1.114298,-0.583411,-0.011224,-0.993007,0.002118,-0.291923,-0.45056,-0.656482
150,0.65913,-1.131054,-0.549401,0.003231,-0.992205,0.019786,-0.480721,-0.324646,-0.341769
151,0.65913,-1.131054,-0.549401,-0.003194,-0.998629,0.023802,-0.291923,-0.576475,-0.341769
152,0.661431,-1.128661,-0.565098,-0.001587,-1.000236,0.027013,-0.73255,-0.765273,-0.656482
153,0.661431,-1.135842,-0.567714,-0.003996,-0.993007,0.014966,-0.354806,-0.261763,-0.530716
154,0.668332,-1.131054,-0.554633,-0.007209,-0.993812,0.004527,-0.795433,-0.009933,-0.404801
155,0.65913,-1.123873,-0.57033,-0.000785,-0.998629,0.00774,-0.606635,-0.198731,-0.845429
156,0.670633,-1.131054,-0.562482,0.001626,-1.000236,0.033439,-0.480721,-0.324646,-0.656482
157,0.670633,-1.131054,-0.562482,-0.003194,-0.995418,0.014966,-0.543603,-0.324646,-0.908311
158,0.670633,-1.138236,-0.583411,-0.009618,-0.997023,0.010951,-0.669518,-0.261763,-0.845429
159,0.666032,-1.121479,-0.572946,-0.005602,-0.987385,0.027013,-0.606635,-0.324646,-0.467684
160,0.666032,-1.131054,-0.593876,-0.001587,-0.993007,0.00774,-0.73255,-0.513443,-0.845429
161,0.666032,-1.126267,-0.580795,-0.0048,-0.992205,0.013362,-0.606635,-0.198731,-0.593599
162,0.663731,-1.123873,-0.565098,-0.005602,-0.996221,0.010951,-0.480721,-0.324646,-0.404801
163,0.672934,-1.131054,-0.593876,-0.003194,-1.00666,0.038257,-0.480721,-0.009933,-0.782397
164,0.672934,-1.131054,-0.593876,0.001626,-0.998629,0.051108,-0.103125,-0.009933,-0.090089
165,0.663731,-1.133448,-0.567714,-0.006405,-0.993007,0.020588,-0.103125,-0.198731,-0.971194
166,0.666032,-1.135842,-0.583411,-0.0048,-0.993007,0.024604,-0.354806,-0.072965,-0.278886
167,0.666032,-1.126267,-0.557249,0.003231,-0.995418,0.011755,-1.173028,0.115982,-0.467684
168,0.663731,-1.143023,-0.578179,-0.006405,-1.001038,0.019786,-0.417838,-0.072965,-0.404801
169,0.65913,-1.131054,-0.567714,-0.014436,-0.997023,0.01818,-0.103125,-0.261763,-0.404801
170,0.65913,-1.131054,-0.567714,-0.017649,-0.984976,0.028619,-0.73255,-0.261763,-0.908311
171,0.668332,-1.138236,-0.546784,-0.005602,-0.990598,0.034241,-0.166008,-0.324646,-0.152972
172,0.65913,-1.135842,-0.57033,0.009657,-0.995418,0.011755,-0.103125,0.115982,-0.908311
173,0.663731,-1.128661,-0.575562,0.005642,-1.003449,0.035046,-0.669518,-0.324646,-0.090089
174,0.670633,-1.133448,-0.552017,-0.000785,-1.003449,0.010149,-0.795433,-0.135848,-0.593599
175,0.672934,-1.128661,-0.557249,-0.011224,-0.995418,0.03665,-0.354806,0.115982,-0.027057
176,0.672934,-1.128661,-0.557249,-0.016847,-0.993007,0.008542,-0.543603,0.05295,-0.530716
177,0.663731,-1.121479,-0.567714,0.004035,-0.997023,0.019786,0.337502,0.115982,-0.656482
178,0.666032,-1.131054,-0.59126,-0.008011,-0.994614,0.014966,-0.480721,0.115982,-0.593599
179,0.666032,-1.126267,-0.552017,0.003231,-0.996221,0.03665,-0.669518,-0.072965,-0.593599
180,0.668332,-1.131054,-0.549401,0.001626,-0.996221,0.029424,-0.795433,0.05295,-0.719514
181,0.663731,-1.133448,-0.559866,-0.01042,-0.994614,0.004527,-0.543603,-0.135848,-0.467684
182,0.661431,-1.135842,-0.562482,-0.005602,-1.001842,0.015771,-0.858316,-0.324646,-0.719514
183,0.661431,-1.135842,-0.562482,-0.003996,-1.004251,0.015771,-0.543603,-0.639358,-0.656482
184,0.666032,-1.138236,-0.586027,-0.008011,-0.993812,0.032635,0.085822,-0.513443,-0.216004
