Sequence,Geo-X,Geo-Y,Geo-Z,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-z
169,1.772619,0.04988,-1.232867,-0.050195,0.03654,-0.817964,1.533478,3.547668,4.491806
170,1.777257,0.052313,-1.222539,-0.058226,0.026101,-0.805918,1.407564,3.547668,4.365891
171,1.774938,0.047447,-1.222539,-0.063044,0.055815,-0.824388,1.407564,3.736466,4.554689
172,1.781894,0.047447,-1.243195,-0.050998,0.040556,-0.815555,1.407564,3.547668,4.177094
173,1.781894,0.047447,-1.243195,-0.060635,0.026101,-0.838846,1.281649,3.421754,4.869551
174,1.767982,0.04988,-1.212212,-0.060635,0.046982,-0.817964,1.407564,3.673583,4.051179
175,1.767982,0.047447,-1.225121,-0.050195,0.043769,-0.80672,1.470596,3.673583,4.680604
176,1.772619,0.047447,-1.245777,-0.061437,0.043769,-0.814753,1.659393,3.610551,4.428923
177,1.781894,0.045014,-1.253522,-0.037345,0.04136,-0.824388,1.344681,3.799498,4.428923
178,1.784212,0.042581,-1.25094,-0.050998,0.035738,-0.824388,1.407564,3.547668,4.680604
179,1.786531,0.042581,-1.245777,-0.049391,0.033329,-0.816357,1.470596,3.421754,4.114211
180,1.786531,0.042581,-1.245777,-0.053407,0.043769,-0.819571,1.407564,3.232956,4.995317
181,1.786531,0.035281,-1.243195,-0.050195,0.034934,-0.819571,1.785308,3.610551,5.184263
182,1.774938,0.040147,-1.222539,-0.050998,0.034132,-0.819571,1.659393,3.862381,4.743636
183,1.777257,0.042581,-1.243195,-0.074288,0.050998,-0.825995,1.344681,3.736466,4.177094
184,1.777257,0.045014,-1.214794,-0.054211,0.034934,-0.801902,1.281649,3.610551,4.365891
185,1.774938,0.045014,-1.214794,-0.055815,0.038951,-0.81154,1.092851,3.925264,4.743636
186,1.774938,0.045014,-1.214794,-0.060635,0.049391,-0.820373,1.344681,3.862381,4.869551
187,1.781894,0.045014,-1.20963,-0.063044,0.052602,-0.814753,1.155883,3.421754,4.491806
188,1.772619,0.045014,-1.232867,-0.055013,0.035738,-0.820373,1.659393,3.862381,4.177094
189,1.777257,0.040147,-1.258686,-0.057422,0.039754,-0.805115,1.659393,3.673583,4.239976
190,1.774938,0.054746,-1.256104,-0.059029,0.039754,-0.809933,1.596361,3.421754,4.554689
191,1.774938,0.04988,-1.25094,-0.0518,0.034132,-0.818768,1.407564,3.862381,4.239976
192,1.784212,0.045014,-1.25094,-0.059029,0.042967,-0.817964,1.785308,3.610551,4.239976
193,1.784212,0.045014,-1.25094,-0.066257,0.054209,-0.813948,1.407564,3.421754,3.988296
194,1.779575,0.032848,-1.25094,-0.063848,0.038147,-0.810735,1.470596,3.610551,4.428923
195,1.779575,0.040147,-1.274178,-0.064651,0.043769,-0.821177,1.659393,3.799498,4.617721
196,1.779575,0.040147,-1.240613,-0.055815,0.038147,-0.839648,1.218766,3.107041,4.428923
197,1.774938,0.040147,-1.230285,-0.063848,0.046178,-0.807524,1.218766,3.484786,5.058348
198,1.779575,0.037714,-1.256104,-0.057422,0.040556,-0.813948,1.596361,3.736466,4.051179
199,1.779575,0.037714,-1.256104,-0.060635,0.038147,-0.817964,1.470596,3.673583,4.869551
200,1.779575,0.035281,-1.212212,-0.054211,0.042967,-0.809933,1.533478,3.358871,4.554689
201,1.770301,0.035281,-1.243195,-0.054211,0.034934,-0.828404,1.281649,3.610551,4.869551
202,1.784212,0.032848,-1.227703,-0.063044,0.034132,-0.805115,1.848191,3.421754,4.491806
203,1.774938,0.035281,-1.256104,-0.044573,0.034132,-0.817162,1.785308,3.736466,4.806519
204,1.791168,0.037714,-1.222539,-0.055013,0.03654,-0.814753,1.407564,3.799498,4.743636
205,1.784212,0.027981,-1.245777,-0.049391,0.042162,-0.819571,1.533478,3.421754,4.869551
206,1.784212,0.027981,-1.245777,-0.055815,0.039754,-0.824388,1.470596,3.862381,4.680604
207,1.770301,0.035281,-1.261268,-0.050195,0.037345,-0.822784,1.533478,3.484786,3.988296
208,1.781894,0.015816,-1.235449,-0.05662,0.035738,-0.799493,1.533478,4.051179,4.554689
209,1.772619,0.045014,-1.253522,-0.047784,0.030116,-0.833224,1.155883,3.736466,4.303008
210,1.784212,0.032848,-1.240613,-0.050998,0.03654,-0.80672,1.659393,3.421754,4.428923
211,1.779575,0.037714,-1.222539,-0.055815,0.045376,-0.821979,1.659393,3.547668,4.365891
212,1.779575,0.037714,-1.222539,-0.065453,0.040556,-0.824388,1.470596,3.736466,4.114211
213,1.777257,0.032848,-1.232867,-0.061437,0.032525,-0.814753,1.092851,3.673583,4.239976
214,1.774938,0.030415,-1.238031,-0.045376,0.030918,-0.846072,1.722276,3.547668,4.617721
215,1.784212,0.035281,-1.238031,-0.04618,0.044571,-0.820373,1.596361,3.862381,4.743636
216,1.777257,0.035281,-1.227703,-0.063848,0.038951,-0.808326,1.596361,3.421754,4.680604
217,1.772619,0.040147,-1.232867,-0.063044,0.042967,-0.812342,1.722276,3.295839,4.491806
218,1.781894,0.027981,-1.225121,-0.055013,0.033329,-0.816357,1.407564,3.547668,4.491806
219,1.781894,0.027981,-1.225121,-0.061437,0.037345,-0.810735,1.344681,3.736466,4.554689
220,1.777257,0.035281,-1.232867,-0.058226,0.040556,-0.822784,1.470596,4.051179,4.365891
221,1.770301,0.030415,-1.227703,-0.047784,0.042162,-0.833224,1.344681,3.610551,4.303008
222,1.767982,0.040147,-1.248359,-0.054211,0.037345,-0.80672,1.281649,3.925264,4.680604
223,1.777257,0.040147,-1.222539,-0.05662,0.025298,-0.818768,1.533478,3.673583,4.177094
224,1.765663,0.035281,-1.201884,-0.061437,0.032525,-0.815555,1.533478,3.610551,5.310029
225,1.770301,0.040147,-1.248359,-0.055013,0.034934,-0.802704,1.407564,3.925264,4.491806
226,1.770301,0.040147,-1.248359,-0.048589,0.044571,-0.829208,1.407564,3.610551,4.680604
227,1.767982,0.037714,-1.204466,-0.063044,0.039754,-0.818768,1.659393,3.421754,4.303008
228,1.784212,0.040147,-1.248359,-0.052604,0.03654,-0.809933,1.407564,3.736466,4.177094
229,1.779575,0.045014,-1.222539,-0.054211,0.035738,-0.810735,1.344681,3.673583,4.932433
230,1.761026,0.047447,-1.243195,-0.064651,0.044571,-0.827601,1.533478,3.484786,4.743636
231,1.772619,0.040147,-1.238031,-0.052604,0.040556,-0.813948,1.785308,3.295839,4.303008
232,1.772619,0.040147,-1.238031,-0.052604,0.043769,-0.797084,1.659393,3.547668,4.428923
233,1.767982,0.025548,-1.243195,-0.05662,0.03654,-0.827601,1.281649,3.673583,4.428923
234,1.774938,0.035281,-1.240613,-0.04618,0.030116,-0.8011,1.407564,4.051179,4.554689
235,1.779575,0.040147,-1.240613,-0.05662,0.046178,-0.847679,1.911074,3.673583,4.177094
236,1.774938,0.020682,-1.227703,-0.062242,0.0518,-0.818768,1.470596,4.051179,4.114211
237,1.772619,0.035281,-1.232867,-0.049391,0.028509,-0.832419,1.407564,3.799498,4.680604
238,1.779575,0.037714,-1.238031,-0.064651,0.040556,-0.821979,1.596361,3.484786,4.114211
239,1.779575,0.037714,-1.238031,-0.042967,0.032525,-0.826799,1.407564,3.610551,4.932433
240,1.767982,0.032848,-1.232867,-0.053407,0.045376,-0.819571,1.470596,3.673583,4.177094
241,1.767982,0.042581,-1.240613,-0.066257,0.045376,-0.814753,1.281649,3.673583,4.554689
242,1.779575,0.037714,-1.256104,-0.053407,0.04136,-0.836437,1.596361,3.799498,4.491806
243,1.770301,0.047447,-1.245777,-0.050998,0.039754,-0.839648,1.344681,3.547668,4.680604
244,1.763345,0.042581,-1.27676,-0.055815,0.044571,-0.79628,1.596361,3.547668,4.428923
245,1.763345,0.042581,-1.27676,-0.064651,0.034934,-0.820373,1.722276,3.484786,4.680604
246,1.774938,0.040147,-1.248359,-0.059831,0.040556,-0.817964,1.785308,3.295839,4.743636
247,1.777257,0.040147,-1.20963,-0.064651,0.034934,-0.821177,1.281649,3.484786,4.365891
248,1.779575,0.040147,-1.232867,-0.060635,0.043769,-0.83001,1.344681,3.610551,4.303008
249,1.763345,0.035281,-1.232867,-0.048589,0.028509,-0.817162,1.722276,3.547668,4.491806
250,1.772619,0.037714,-1.230285,-0.062242,0.043769,-0.801902,1.407564,3.547668,4.869551
251,1.770301,0.037714,-1.243195,-0.055013,0.038147,-0.820373,1.470596,4.051179,4.303008
252,1.770301,0.037714,-1.243195,-0.055815,0.050193,-0.832419,1.533478,3.421754,4.554689
253,1.772619,0.037714,-1.222539,-0.050998,0.039754,-0.804311,1.596361,3.925264,4.428923
254,1.767982,0.032848,-1.245777,-0.055013,0.033329,-0.812342,1.344681,3.547668,4.239976
255,1.767982,0.052313,-1.25094,-0.055013,0.034132,-0.826799,1.470596,3.925264,4.554689
256,1.765663,0.037714,-1.240613,-0.061437,0.048587,-0.825995,1.659393,3.862381,3.925264
257,1.770301,0.037714,-1.230285,-0.048589,0.038147,-0.8011,1.344681,3.799498,4.114211
258,1.770301,0.037714,-1.230285,-0.061437,0.03654,-0.819571,1.470596,3.799498,4.303008
259,1.779575,0.047447,-1.240613,-0.060635,0.033329,-0.833224,1.785308,4.114211,4.239976
260,1.777257,0.047447,-1.235449,-0.050195,0.026101,-0.821979,1.281649,3.736466,4.743636
261,1.777257,0.040147,-1.25094,-0.0518,0.042967,-0.808326,1.785308,3.547668,4.491806
262,1.781894,0.045014,-1.207048,-0.052604,0.040556,-0.820373,2.100021,3.799498,4.743636
263,1.779575,0.030415,-1.238031,-0.061437,0.040556,-0.841254,1.596361,3.736466,4.554689
264,1.779575,0.040147,-1.227703,-0.055815,0.048587,-0.820373,1.596361,3.232956,4.491806
265,1.779575,0.040147,-1.227703,-0.05662,0.054209,-0.831617,1.407564,3.610551,4.239976
266,1.779575,0.027981,-1.258686,-0.052604,0.032525,-0.794673,1.596361,3.799498,4.428923
267,1.767982,0.035281,-1.222539,-0.055815,0.040556,-0.826799,1.596361,3.547668,4.491806
268,1.777257,0.027981,-1.240613,-0.059029,0.043769,-0.817162,1.407564,3.547668,4.491806
269,1.777257,0.040147,-1.245777,-0.050195,0.039754,-0.825995,1.596361,3.925264,4.303008
270,1.781894,0.025548,-1.230285,-0.050998,0.042162,-0.820373,1.722276,3.673583,4.554689
271,1.781894,0.025548,-1.230285,-0.055013,0.047784,-0.829208,1.659393,3.610551,3.862381
272,1.770301,0.030415,-1.235449,-0.049391,0.030116,-0.841254,1.470596,3.862381,4.365891
273,1.777257,0.032848,-1.240613,-0.058226,0.042162,-0.81154,1.407564,3.673583,4.617721
274,1.781894,0.042581,-1.225121,-0.060635,0.034934,-0.817964,1.659393,3.610551,4.051179
275,1.781894,0.045014,-1.271596,-0.052604,0.046982,-0.816357,1.407564,3.673583,4.428923
